circuit,pilote,team,round,annee,forme_recent_norm,performance_norm,pref_circuit_norm,forme_brute,performance_brute,pref_circuit_brute,experience,is_rookie,best_recent_pts,avg_recent_pts,is_wet,wet_avg_pts,wet_race_count,pts_sur_le_weekend,position_reelle,forme_recent_norm_equipe,performance_norm_equipe,preference_circuit_norm_equipe,forme_brute_equipe,performance_brute_equipe,pref_circuit_brute_equipe
Australian Grand Prix,latifi,williams,3,2022,0.0,0.0023110042408425,0.0,0.0,0.35,0.0,41,0,0.0,0.0,0,0.0,0,0.0,16,0.0,0.0311706341871897,0.0,0.0,8.738182611486572,0.0
Australian Grand Prix,alonso,alpine,3,2022,0.039447731754646,0.2356784185158961,0.0,2.0,35.69333410244579,0.0,198,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,17,0.2086167800429861,0.2391160761856778,0.0,18.4,37.20233748462411,0.0
Australian Grand Prix,max_verstappen,red_bull,3,2022,0.6410256410129975,0.6045185381019333,0.0,32.5,91.55391608391608,0.0,143,0,25.0,8.333333333333334,0,8.333333333333334,0,0.0,18,0.5453514739167193,0.7729381815399233,0.0,48.1,110.27340331552637,0.0
Australian Grand Prix,vettel,aston_martin,3,2022,0.0,0.5684680262925617,0.0,0.0,86.09409090909092,0.0,237,0,0.0,0.0,0,0.0,0,0.0,19,0.0,0.1229846495577917,0.0,0.0,21.305942346525384,0.0
Australian Grand Prix,sainz,ferrari,3,2022,0.7396449703996125,0.3749968813236454,0.0,37.5,56.79301930463903,0.0,143,0,18.0,11.0,0,11.0,0,0.0,20,0.999999999988662,0.9900456339192896,0.0,88.2,139.99167984636534,0.0
Emilia Romagna Grand Prix,max_verstappen,red_bull,4,2022,0.3434065934029648,0.5599644327248319,0.0,32.5,91.55391608391608,0.0,144,0,26.0,17.0,0,17.0,0,26.0,1,0.5942182533631436,0.7554297495546144,0.0,78.52000000000001,128.27340331552637,0.0
Emilia Romagna Grand Prix,perez,red_bull,4,2022,0.4862637362585981,0.3935911198628076,0.0,46.02,64.35195925560089,0.0,218,0,18.0,16.0,0,16.0,0,18.0,2,0.5942182533631436,0.7554297495546144,0.0,78.52000000000001,128.27340331552637,0.0
Emilia Romagna Grand Prix,norris,mclaren,4,2022,0.2609890109862532,0.1892057528212689,0.0,24.700000000000003,30.935049806824,0.0,63,0,15.0,10.333333333333334,0,10.333333333333334,0,15.0,3,0.2892386862396758,0.296940103639174,0.0,38.22,53.134835214022445,0.0
Emilia Romagna Grand Prix,russell,mercedes,4,2022,0.5320160608565931,0.2356983150081359,0.0,50.35,38.53656141760584,0.0,63,0,15.0,12.333333333333334,0,12.333333333333334,0,12.0,4,0.6578628727057828,0.999999999993898,0.0,86.93,168.35426137185686,0.0
Emilia Romagna Grand Prix,bottas,sauber,4,2022,0.1559594251885465,0.4978583679094176,0.0,14.760000000000002,81.3996042846043,0.0,182,0,10.0,4.666666666666667,0,4.666666666666667,0,10.0,5,0.0,0.0,0.0,0.0,4.47145884744978,0.0
